date,nikkei_close,nikkei_prev_close,topix_close,topix_prev_close,nikkei_atr,futures_close,advancers_ratio
2026-05-21,60866.2,60500.0,3259.84,3250.0,520,60896.2,0.583
2026-05-22,61152.41,60866.2,3269.89,3259.84,520,61182.41,0.467
2026-05-25,61102.63,61152.41,3265.49,3269.89,520,61132.63,0.627
2026-05-26,61034.71,61102.63,3257.72,3265.49,520,61064.71,0.503
2026-05-27,61328.5,61034.71,3254.06,3257.72,520,61358.5,0.564
2026-05-28,61601.33,61328.5,3248.47,3254.06,520,61631.33,0.558
2026-05-29,61782.25,61601.33,3254.34,3248.47,520,61812.25,0.511
2026-06-01,62164.89,61782.25,3264.42,3254.34,520,62194.89,0.565
2026-06-02,62497.42,62164.89,3255.94,3264.42,520,62527.42,0.487
2026-06-03,62522.61,62497.42,3252.17,3255.94,520,62552.61,0.555
2026-06-04,62602.53,62522.61,3259.55,3252.17,520,62632.53,0.466
2026-06-05,62575.24,62602.53,3271.61,3259.55,520,62605.24,0.591
2026-06-08,62843.42,62575.24,3265.45,3271.61,520,62895.42,0.551
2026-06-09,63396.8,62843.42,3267.01,3265.45,520,63470.8,0.471
2026-06-10,63816.33,63396.8,3283.98,3267.01,520,63912.33,0.419
2026-06-11,64680.01,63816.33,3289.38,3283.98,520,64798.01,0.488
2026-06-12,65262.4,64680.01,3291.57,3289.38,520,65402.4,0.283
