date,expiry,type,strike,open_interest
2026-05-21,2026-06-12,C,59500,2715
2026-05-21,2026-06-12,P,59500,4858
2026-05-21,2026-06-12,C,60000,3356
2026-05-21,2026-06-12,P,60000,5388
2026-05-21,2026-06-12,C,60500,3382
2026-05-21,2026-06-12,P,60500,4131
2026-05-21,2026-06-12,C,61000,3555
2026-05-21,2026-06-12,P,61000,3902
2026-05-21,2026-06-12,C,61500,3652
2026-05-21,2026-06-12,P,61500,3603
2026-05-21,2026-06-12,C,62000,2593
2026-05-21,2026-06-12,P,62000,3610
2026-05-21,2026-06-12,C,62500,3431
2026-05-21,2026-06-12,P,62500,3430
2026-05-21,2026-06-12,C,63000,4457
2026-05-21,2026-06-12,P,63000,3523
2026-05-21,2026-06-12,C,63500,4149
2026-05-21,2026-06-12,P,63500,3394
2026-05-21,2026-06-12,C,64000,4626
2026-05-21,2026-06-12,P,64000,3617
2026-05-21,2026-06-12,C,64500,4969
2026-05-21,2026-06-12,P,64500,3393
2026-05-21,2026-06-12,C,65000,5958
2026-05-21,2026-06-12,P,65000,3182
2026-05-21,2026-06-12,C,65500,5759
2026-05-21,2026-06-12,P,65500,3452
2026-05-21,2026-06-12,C,66000,6286
2026-05-21,2026-06-12,P,66000,3836
2026-05-21,2026-06-12,C,66500,6674
2026-05-21,2026-06-12,P,66500,3877
2026-05-21,2026-06-12,C,67000,7759
2026-05-21,2026-06-12,P,67000,3978
2026-05-21,2026-06-12,C,67500,7751
2026-05-21,2026-06-12,P,67500,3019
2026-05-22,2026-06-12,C,59500,2506
2026-05-22,2026-06-12,P,59500,5499
2026-05-22,2026-06-12,C,60000,2910
2026-05-22,2026-06-12,P,60000,5234
2026-05-22,2026-06-12,C,60500,3439
2026-05-22,2026-06-12,P,60500,4105
2026-05-22,2026-06-12,C,61000,3386
2026-05-22,2026-06-12,P,61000,4445
2026-05-22,2026-06-12,C,61500,2717
2026-05-22,2026-06-12,P,61500,3887
2026-05-22,2026-06-12,C,62000,3549
2026-05-22,2026-06-12,P,62000,3199
2026-05-22,2026-06-12,C,62500,3033
2026-05-22,2026-06-12,P,62500,3763
2026-05-22,2026-06-12,C,63000,3651
2026-05-22,2026-06-12,P,63000,3545
2026-05-22,2026-06-12,C,63500,3904
2026-05-22,2026-06-12,P,63500,3118
2026-05-22,2026-06-12,C,64000,4604
2026-05-22,2026-06-12,P,64000,3433
2026-05-22,2026-06-12,C,64500,5444
2026-05-22,2026-06-12,P,64500,3588
2026-05-22,2026-06-12,C,65000,5722
2026-05-22,2026-06-12,P,65000,3261
2026-05-22,2026-06-12,C,65500,5907
2026-05-22,2026-06-12,P,65500,3110
2026-05-22,2026-06-12,C,66000,6543
2026-05-22,2026-06-12,P,66000,3629
2026-05-22,2026-06-12,C,66500,6352
2026-05-22,2026-06-12,P,66500,3667
2026-05-22,2026-06-12,C,67000,7117
2026-05-22,2026-06-12,P,67000,3516
2026-05-22,2026-06-12,C,67500,7199
2026-05-22,2026-06-12,P,67500,3333
2026-05-25,2026-06-12,C,59500,3643
2026-05-25,2026-06-12,P,59500,5642
2026-05-25,2026-06-12,C,60000,2773
2026-05-25,2026-06-12,P,60000,4571
2026-05-25,2026-06-12,C,60500,3219
2026-05-25,2026-06-12,P,60500,4220
2026-05-25,2026-06-12,C,61000,3170
2026-05-25,2026-06-12,P,61000,4094
2026-05-25,2026-06-12,C,61500,3256
2026-05-25,2026-06-12,P,61500,4225
2026-05-25,2026-06-12,C,62000,3251
2026-05-25,2026-06-12,P,62000,3317
2026-05-25,2026-06-12,C,62500,3555
2026-05-25,2026-06-12,P,62500,3320
2026-05-25,2026-06-12,C,63000,4105
2026-05-25,2026-06-12,P,63000,3013
2026-05-25,2026-06-12,C,63500,4481
2026-05-25,2026-06-12,P,63500,3580
2026-05-25,2026-06-12,C,64000,4561
2026-05-25,2026-06-12,P,64000,3725
2026-05-25,2026-06-12,C,64500,5775
2026-05-25,2026-06-12,P,64500,3842
2026-05-25,2026-06-12,C,65000,6074
2026-05-25,2026-06-12,P,65000,3720
2026-05-25,2026-06-12,C,65500,6235
2026-05-25,2026-06-12,P,65500,3180
2026-05-25,2026-06-12,C,66000,6945
2026-05-25,2026-06-12,P,66000,3134
2026-05-25,2026-06-12,C,66500,6320
2026-05-25,2026-06-12,P,66500,3795
2026-05-25,2026-06-12,C,67000,7382
2026-05-25,2026-06-12,P,67000,3566
2026-05-25,2026-06-12,C,67500,7381
2026-05-25,2026-06-12,P,67500,3127
2026-05-26,2026-06-12,C,59500,3488
2026-05-26,2026-06-12,P,59500,5590
2026-05-26,2026-06-12,C,60000,3633
2026-05-26,2026-06-12,P,60000,4839
2026-05-26,2026-06-12,C,60500,3372
2026-05-26,2026-06-12,P,60500,4829
2026-05-26,2026-06-12,C,61000,3569
2026-05-26,2026-06-12,P,61000,3827
2026-05-26,2026-06-12,C,61500,2802
2026-05-26,2026-06-12,P,61500,3393
2026-05-26,2026-06-12,C,62000,3393
2026-05-26,2026-06-12,P,62000,3772
2026-05-26,2026-06-12,C,62500,3357
2026-05-26,2026-06-12,P,62500,3439
2026-05-26,2026-06-12,C,63000,4306
2026-05-26,2026-06-12,P,63000,3256
2026-05-26,2026-06-12,C,63500,4597
2026-05-26,2026-06-12,P,63500,3843
2026-05-26,2026-06-12,C,64000,4865
2026-05-26,2026-06-12,P,64000,3411
2026-05-26,2026-06-12,C,64500,5747
2026-05-26,2026-06-12,P,64500,3934
2026-05-26,2026-06-12,C,65000,5692
2026-05-26,2026-06-12,P,65000,3267
2026-05-26,2026-06-12,C,65500,6206
2026-05-26,2026-06-12,P,65500,3517
2026-05-26,2026-06-12,C,66000,6774
2026-05-26,2026-06-12,P,66000,3741
2026-05-26,2026-06-12,C,66500,6480
2026-05-26,2026-06-12,P,66500,3724
2026-05-26,2026-06-12,C,67000,7177
2026-05-26,2026-06-12,P,67000,3614
2026-05-26,2026-06-12,C,67500,8095
2026-05-26,2026-06-12,P,67500,3685
2026-05-27,2026-06-12,C,59500,2805
2026-05-27,2026-06-12,P,59500,5355
2026-05-27,2026-06-12,C,60000,3147
2026-05-27,2026-06-12,P,60000,4664
2026-05-27,2026-06-12,C,60500,3586
2026-05-27,2026-06-12,P,60500,4838
2026-05-27,2026-06-12,C,61000,3262
2026-05-27,2026-06-12,P,61000,4376
2026-05-27,2026-06-12,C,61500,3699
2026-05-27,2026-06-12,P,61500,3678
2026-05-27,2026-06-12,C,62000,2570
2026-05-27,2026-06-12,P,62000,3458
2026-05-27,2026-06-12,C,62500,2977
2026-05-27,2026-06-12,P,62500,3755
2026-05-27,2026-06-12,C,63000,3615
2026-05-27,2026-06-12,P,63000,3278
2026-05-27,2026-06-12,C,63500,4724
2026-05-27,2026-06-12,P,63500,3477
2026-05-27,2026-06-12,C,64000,4646
2026-05-27,2026-06-12,P,64000,3415
2026-05-27,2026-06-12,C,64500,4679
2026-05-27,2026-06-12,P,64500,3392
2026-05-27,2026-06-12,C,65000,6135
2026-05-27,2026-06-12,P,65000,3014
2026-05-27,2026-06-12,C,65500,5867
2026-05-27,2026-06-12,P,65500,3832
2026-05-27,2026-06-12,C,66000,7045
2026-05-27,2026-06-12,P,66000,3761
2026-05-27,2026-06-12,C,66500,6952
2026-05-27,2026-06-12,P,66500,3750
2026-05-27,2026-06-12,C,67000,7739
2026-05-27,2026-06-12,P,67000,3162
2026-05-27,2026-06-12,C,67500,7169
2026-05-27,2026-06-12,P,67500,3741
2026-05-28,2026-06-12,C,59500,3227
2026-05-28,2026-06-12,P,59500,5644
2026-05-28,2026-06-12,C,60000,2657
2026-05-28,2026-06-12,P,60000,4818
2026-05-28,2026-06-12,C,60500,3259
2026-05-28,2026-06-12,P,60500,4147
2026-05-28,2026-06-12,C,61000,2709
2026-05-28,2026-06-12,P,61000,4336
2026-05-28,2026-06-12,C,61500,2726
2026-05-28,2026-06-12,P,61500,3633
2026-05-28,2026-06-12,C,62000,3279
2026-05-28,2026-06-12,P,62000,3207
2026-05-28,2026-06-12,C,62500,3709
2026-05-28,2026-06-12,P,62500,3549
2026-05-28,2026-06-12,C,63000,4417
2026-05-28,2026-06-12,P,63000,3219
2026-05-28,2026-06-12,C,63500,4139
2026-05-28,2026-06-12,P,63500,3967
2026-05-28,2026-06-12,C,64000,4390
2026-05-28,2026-06-12,P,64000,3401
2026-05-28,2026-06-12,C,64500,5555
2026-05-28,2026-06-12,P,64500,3627
2026-05-28,2026-06-12,C,65000,5688
2026-05-28,2026-06-12,P,65000,3725
2026-05-28,2026-06-12,C,65500,5495
2026-05-28,2026-06-12,P,65500,3741
2026-05-28,2026-06-12,C,66000,6748
2026-05-28,2026-06-12,P,66000,3843
2026-05-28,2026-06-12,C,66500,7415
2026-05-28,2026-06-12,P,66500,3097
2026-05-28,2026-06-12,C,67000,7770
2026-05-28,2026-06-12,P,67000,3772
2026-05-28,2026-06-12,C,67500,7840
2026-05-28,2026-06-12,P,67500,3246
2026-05-29,2026-06-12,C,59500,3432
2026-05-29,2026-06-12,P,59500,5750
2026-05-29,2026-06-12,C,60000,3239
2026-05-29,2026-06-12,P,60000,4938
2026-05-29,2026-06-12,C,60500,2775
2026-05-29,2026-06-12,P,60500,4395
2026-05-29,2026-06-12,C,61000,3000
2026-05-29,2026-06-12,P,61000,4534
2026-05-29,2026-06-12,C,61500,2713
2026-05-29,2026-06-12,P,61500,4067
2026-05-29,2026-06-12,C,62000,2573
2026-05-29,2026-06-12,P,62000,3238
2026-05-29,2026-06-12,C,62500,3804
2026-05-29,2026-06-12,P,62500,3457
2026-05-29,2026-06-12,C,63000,3783
2026-05-29,2026-06-12,P,63000,3551
2026-05-29,2026-06-12,C,63500,4689
2026-05-29,2026-06-12,P,63500,3271
2026-05-29,2026-06-12,C,64000,4396
2026-05-29,2026-06-12,P,64000,3245
2026-05-29,2026-06-12,C,64500,4607
2026-05-29,2026-06-12,P,64500,3573
2026-05-29,2026-06-12,C,65000,5134
2026-05-29,2026-06-12,P,65000,3855
2026-05-29,2026-06-12,C,65500,6109
2026-05-29,2026-06-12,P,65500,3731
2026-05-29,2026-06-12,C,66000,6978
2026-05-29,2026-06-12,P,66000,3786
2026-05-29,2026-06-12,C,66500,7416
2026-05-29,2026-06-12,P,66500,3117
2026-05-29,2026-06-12,C,67000,7860
2026-05-29,2026-06-12,P,67000,3047
2026-05-29,2026-06-12,C,67500,7647
2026-05-29,2026-06-12,P,67500,3985
2026-06-01,2026-06-12,C,59500,3062
2026-06-01,2026-06-12,P,59500,5262
2026-06-01,2026-06-12,C,60000,3590
2026-06-01,2026-06-12,P,60000,5132
2026-06-01,2026-06-12,C,60500,3053
2026-06-01,2026-06-12,P,60500,4929
2026-06-01,2026-06-12,C,61000,3535
2026-06-01,2026-06-12,P,61000,4540
2026-06-01,2026-06-12,C,61500,3654
2026-06-01,2026-06-12,P,61500,3612
2026-06-01,2026-06-12,C,62000,3039
2026-06-01,2026-06-12,P,62000,3398
2026-06-01,2026-06-12,C,62500,3365
2026-06-01,2026-06-12,P,62500,3467
2026-06-01,2026-06-12,C,63000,3537
2026-06-01,2026-06-12,P,63000,3837
2026-06-01,2026-06-12,C,63500,4848
2026-06-01,2026-06-12,P,63500,3868
2026-06-01,2026-06-12,C,64000,4492
2026-06-01,2026-06-12,P,64000,3565
2026-06-01,2026-06-12,C,64500,5051
